# Average-time for sorting 2^21=2097152 items, using 4 threads and 500 rounds (best at c=6)
#
#  c     SSqs     POqs  speedup
   1  0.21518  0.11406     1.89
   2  0.22680  0.09579     2.37
   3  0.23042  0.09186     2.51
   4  0.23221  0.08953     2.59
   5  0.23282  0.08788     2.65
   6  0.23337  0.08786     2.66
   7  0.23380  0.08826     2.65
   8  0.23374  0.08878     2.63
   9  0.23262  0.09007     2.58
  10  0.23262  0.09314     2.50
  11  0.23347  0.09962     2.34
  12  0.23253  0.11155     2.08
  13  0.23684  0.13880     1.71
  14  0.24045  0.18913     1.27
  15  0.24328  0.28873     0.84
  16  0.24654  0.48413     0.51
  17  0.24946  0.84828     0.29
  18  0.24929  1.50041     0.17
  19  0.24991  2.60929     0.10
  20  0.24999  4.27884     0.06
  21  0.24885  6.54030     0.04

# Total elapsed time: 12299.98s

